node1,node2,dist
Abakan,Chernogorsk,0.0018515221437481128
Abdulino,Priyutovo,0.003879607410424513
Abinsk,Akhtyrskiy,0.001844268144291952
Achinsk,Nazarovo,0.003180761271308426
Achkhoy-Martan,Ordzhonikidzevskaya,0.003207693930433841
Adler,Sochi,0.002647749645902753
Afipskiy,Enem,0.0008833082140169131
Agidel’,Neftekamsk,0.003902182101216551
Agryz,Izhevsk,0.00446347402490121
Akademgorodok,Arsen’yev,0.0
Akhtubinsk,Znamensk,0.005754340022212428
Aksay,Sorochinsk,0.013809624724280385
Alagir,Ardon,0.0014582605474715345
Alapayevsk,Rezh,0.006619296153527009
Alatyr’,Shumerlya,0.007922005469773612
Aldan,Neryungri,0.02478769804904872
Aleksandrov,Karabanovo,0.0010480622375587411
Aleksandrovsk,Kizel,0.0015841746173858627
Aleksandrovskoye,Zelenokumsk,0.0
Aleksin,Protvino,0.004556353938889635
Aleysk,Barnaul,0.014216297938797159
Altuf’yevskiy,Vostochnoe Degunino,0.00019037465123266986
Al’met’yevsk,Leninogorsk,0.003805776963043331
Amursk,Komsomolsk-on-Amur,0.003525887387628592
Anapa,Temryuk,0.0034329365309757696
Andreyevskoye,Istra,0.00039659425316554013
Angarsk,Usol’ye-Sibirskoye,0.003533841790290344
Annino,Trubchevsk,0.001236403738167724
Anzhero-Sudzhensk,Tayga,0.003777587544187459
Apatity,Kirovsk,0.0018575503091715546
Aprelevka,Krasnoznamensk,0.0007235083735514754
Apsheronsk,Khadyzhensk,0.0025141716478451442
Aramil,Sysert’,0.002347641006779119
Armavir,Novokubansk,0.001407359975756279
Arsk,Kazan,0.008287744550474551
Artëm,Vladivostok,0.0042846166779736215
Arzamas,Sarov,0.007178586811080992
Arzgir,Budënnovsk,0.0051820501110377394
Asbest,Reftinskiy,0.0023104950065983795
Asha,Sim,0.004120396526082863
Astrakhan,Kamyzyak,0.0022078131117113198
Atkarsk,Petrovsk,0.006368292778868368
Avtury,Kurchaloy,0.001143823410530357
Aykhal,Udachny,0.008860185031950185
Azov,Levoberezhnyy,0.002869821809592888
Babushkin,Gusinoozyorsk,0.008583259315340163
Bagayevskaya,Novocherkassk,0.003581246617786238
Bakal,Satka,0.0025068579164721013
Baksan,Dugulubgey,0.00019043804468292882
Balabanovo,Obninsk,0.0010230501460234275
Balakovo,Yershov,0.008708729403955617
Balashikha,Reutov,0.0009204002234234961
Balashov,Yelan’,0.00905055831662955
Balezino,Glazov,0.003707899308961507
Barabinsk,Kupino,0.015480493160610169
Barnaul,Novoaltaysk,0.0017656612617783468
Barysh,Kuznetsk,0.008040200387844441
Bataysk,Rostov,0.0008373523136733478
Bavly,Tuymazy,0.00507741529577827
Baymak,Sibay,0.0040244274189135615
Belaya Glina,Novopokrovskaya,0.0022656014177046746
Belaya Kalitva,Semikarakorsk,0.006297851744101589
Belebey,Priyutovo,0.0029728586097162767
Belgorod,Razumnoye,0.0013050589649068257
Belidzhi,Derbent,0.0020781267934799528
Belogorsk,Blagoveshchensk,0.012337001221884436
Akhtubinsk,Beloozërskiy,0.011352170835931194
Belorechensk,Giaginskaya,0.00253771724135469
Beloretsk,Magnitogorsk,0.008638869248061575
Belovo,Polysayevo,0.002136392663048269
Beloyarskiy,Nyagan,0.023678268882691905
Berdsk,Krasnoobsk,0.002231769689556446
