node1,node2,dist
Akademgorodok,Arsen’yev,0.0
Akademgorodok,Bugul’ma,0.0
Akademgorodok,Dal'negorsk,0.0
Akademgorodok,Dal’nerechensk,0.0
Akademgorodok,Dolgoprudnyy,0.0
Akademgorodok,Gul’kevichi,0.0
Akademgorodok,Izobil’nyy,0.0
Akademgorodok,Kotel’nich,0.0
Akademgorodok,Medvezh’yegorsk,0.0
Akademgorodok,Novoul’yanovsk,0.0
Akademgorodok,Orekhovo-Borisovo,0.0
Akademgorodok,Petrovsk-Zabaykal’skiy,0.0
Akademgorodok,Severobaykal’sk,0.0
Akademgorodok,Severoural’sk,0.0
Akademgorodok,Spassk-Dal’niy,0.0
Akademgorodok,Tal’menka,0.0
Akademgorodok,Tsotsin-Yurt,0.0
Akademgorodok,Vasil’yevo,0.0
Akademgorodok,Vyaz’ma,0.0
Akademgorodok,Yuzhnoural’sk,0.0
Aleksandrovskoye,Zelenokumsk,0.0
Bogorodsk,Noginsk,0.0
Chapayevsk,Nagornyy,0.0
Kuybyshev,Samara,0.0
Malgobek,Staryy Malgobek,0.0
Peterhof,Petrodvorets,0.0
Rostov,Rostov-na-Donu,0.0
Ryazanskiy,Ryazan’,0.0
Rybinsk,Sheksna,0.0
Altuf’yevskiy,Vostochnoe Degunino,0.00019037465123266986
Baksan,Dugulubgey,0.00019043804468292882
Yessentuki,Yessentukskaya,0.0002659240334621021
Pyatigorsk,Svobody,0.0002721845846028141
Gagarin,Shatura,0.00035283583881536116
Goryachevodskiy,Pyatigorsk,0.00035745040201625523
Ivanovskoye,Krasnogorsk,0.0003656437290025797
Kashira,Luzhniki,0.00036721661657101567
Dzerzhinskiy,Kotel’niki,0.0003689595382357193
Kineshma,Sokol’niki,0.0003858434870097312
Monino,Staraya Kupavna,0.00039292404778779847
Andreyevskoye,Istra,0.00039659425316554013
Kotel’niki,Lyubertsy,0.0003967905146897
Losino-Petrovskiy,Monino,0.0003970319761231343
Cheboksary,Zavolzh’ye,0.0004384406019118968
Nizhniy Novgorod,Sovetskiy,0.00046223137843691604
Pavlovsk,Pushkin,0.00048660061365675243
Lesnoy,Nizhnyaya Tura,0.0004911761587061521
Mar’ina Roshcha,Moscow,0.0004915497270112329
Novotitarovskaya,Yasenevo,0.000523675002054256
Lyubertsy,Tomilino,0.0005342262666969269
Inozemtsevo,Pyatigorsk,0.0005416314924846765
Golitsyno,Krasnoznamensk,0.000575930233255743
Chegem,Nal’chik,0.0005957505484988433
Krasnodar,Oktyabr’skiy,0.0006175960293448966
Luzhniki,Stupino,0.0006253900550908241
Malakhovka,Tomilino,0.0006343877524577242
Rostokino,Strunino,0.0006559795361918286
Lakinsk,Sobinka,0.0006656955243037968
Dedovsk,Nakhabino,0.0006710150097672681
Donskoy,Novomoskovsk,0.0006846329545270168
Gorelovo,Krasnoye Selo,0.0006940168501691166
Enem,Oktyabr’skiy,0.0007025963005559828
Elektrostal’,Fryazevo,0.0007053813490059317
Ekazhevo,Nazran’,0.0007068605036515611
Aprelevka,Krasnoznamensk,0.0007235083735514754
Skhodnya,Zelenograd,0.0007239824709570798
Moscow,Moskovskiy,0.0007407447418837096
Fryazino,Shchelkovo,0.0007410580245754183
Lermontov,Zheleznovodsk,0.0007534579203378189
