node1,node2,dist
Abdulino,Priyutovo,0.003879607410424513
Abinsk,Akhtyrskiy,0.001844268144291952
Achinsk,Nazarovo,0.003180761271308426
Achkhoy-Martan,Ordzhonikidzevskaya,0.003207693930433841
Adler,Sochi,0.002647749645902753
Afipskiy,Enem,0.0008833082140169131
Agidel’,Neftekamsk,0.003902182101216551
Agryz,Mozhga,0.007595887561542391
Akademgorodok,Krasnokamensk,0.02113583082565882
Akhtubinsk,Znamensk,0.005754340022212428
Akhtyrskiy,Severskaya,0.004728143462949265
Aksay,Sorochinsk,0.013809624724280385
Alagir,Ardon,0.0014582605474715345
Alapayevsk,Rezh,0.006619296153527009
Alatyr’,Shumerlya,0.007922005469773612
Aldan,Neryungri,0.02478769804904872
Aleksandrov,Karabanovo,0.0010480622375587411
Aleksandrovsk,Kizel,0.0015841746173858627
Aleksandrovskoye,Novopavlovsk,0.004909663214626504
Aleksin,Protvino,0.004556353938889635
Aleysk,Barnaul,0.014216297938797159
Altuf’yevskiy,Vostochnoe Degunino,0.00019037465123266986
Al’met’yevsk,Leninogorsk,0.003805776963043331
Amursk,Khabarovsk,0.02702709545747513
Anapa,Novorossiysk,0.005794904409566355
Andreyevskoye,Istra,0.00039659425316554013
Angarsk,Usol’ye-Sibirskoye,0.003533841790290344
Annino,Trubchevsk,0.001236403738167724
Anzhero-Sudzhensk,Beryozovsky,0.005536634968790593
Apatity,Polyarnyye Zori,0.00676321630514525
Aprelevka,Vnukovo,0.0022888589169946984
Apsheronsk,Belorechensk,0.0030306436771242594
Aramil,Asbest,0.007073627153559301
Ardon,Terek,0.0032179803379061736
Armavir,Novokubansk,0.001407359975756279
Arsen’yev,Krasnokamensk,0.02132240208666707
Arsk,Kukmor,0.009959903202972423
Artëm,Ussuriysk,0.004727723138136235
Arzamas,Kstovo,0.009933385408675359
Arzgir,Budënnovsk,0.0051820501110377394
Asbest,Reftinskiy,0.0023104950065983795
Asha,Sim,0.004120396526082863
Astrakhan,Kharabali,0.013669765944349849
Atkarsk,Kalininsk,0.0068552973858394105
Avtury,Shali,0.0013056418220134597
Aykhal,Mirny,0.05096844705267882
Azov,Levoberezhnyy,0.002869821809592888
Babushkin,Irkutsk,0.01805685847291545
Bagayevskaya,Novocherkassk,0.003581246617786238
Bakal,Satka,0.0025068579164721013
Baksan,Novopavlovsk,0.002615790486727853
Balabanovo,Naro-Fominsk,0.002630072639529765
Balakovo,Marks,0.012076897801041559
Balashikha,Shchelkovo,0.0015793266291199842
Balashov,Povorino,0.010535024886889736
Balezino,Igra,0.005483733578217245
Barabinsk,Kupino,0.015480493160610169
Barnaul,Novoaltaysk,0.0017656612617783468
Barysh,Inza,0.008246248477897834
Bataysk,Rostov,0.0008373523136733478
Bavly,Tuymazy,0.00507741529577827
Baymak,Sibay,0.0040244274189135615
Belaya Glina,Novopokrovskaya,0.0022656014177046746
Belaya Kalitva,Semikarakorsk,0.006297851744101589
Belebey,Rayevskiy,0.00842195292570155
Belgorod,Stroitel’,0.002257158413348463
Belidzhi,Derbent,0.0020781267934799528
Belogorsk,Shimanovsk,0.014509306334071947
Beloozërskiy,Akhtubinsk,0.011352170835931194
Belorechensk,Ust’-Labinsk,0.0045449036094353116
Beloretsk,Katav-Ivanovsk,0.009340250119334672
Belovo,Polysayevo,0.002136392663048269
Beloyarskiy,Nyagan,0.023678268882691905
Berdsk,Iskitim,0.0024168126294348185
Berezniki,Aleksandrovsk,0.00765071281285083
Beryozovsky,Mariinsk,0.015763008983323657
Berëzovskiy,Novopokrovskaya,0.0043107254294339975
Beslan,Ardon,0.003034860425327783
Bezenchuk,Nagornyy,0.0029108252568580692
Bezhetsk,Kashin,0.010072887468244177
Bibirevo,Aleksandrov,0.003482225478988907
Bikin,Vyazemskiy,0.009014616225843729
Birobidzhan,Raychikhinsk,0.04136683922564447
Birsk,Ufa,0.009042279150776536
Biryulëvo,Kubinka,0.0017013098211394306
Biysk,Zarinsk,0.013465986683206269
Blagodarnyy,Zelenokumsk,0.008096892099315951
Blagoveshchensk,Belogorsk,0.012337001221884436
Bobrov,Liski,0.006020250157205382
Bodaybo,Chita,0.06610304280914624
Bogdanovich,Kamyshlov,0.006421974493040117
Bogoroditsk,Uzlovaya,0.002386989420575821
Bogorodsk,Elektrostal’,0.0008372211450691317
Bogorodskoye,Omutninsk,0.016887798351094448
Bogotol,Sharypovo,0.008698123307157208
Boguchar,Kalach,0.007190669014168236
Boksitogorsk,Borovichi,0.013832168971691695
Bologoye,Vyshniy Volochëk,0.005989602960394833
Bolotnoye,Yurga,0.005418491999849488
Bol’shaya Setun’,Moskovskiy,0.0010109174129149746
Borisoglebsk,Gribanovskiy,0.0014020998057589894
Borodino,Zelenogorsk,0.00394777908389599
Borovichi,Linëvo,0.005255029760753416
Borzya,Nerchinsk,0.01685040439361338
Bratsk,Vikhorevka,0.004523983709697575
Bronnitsy,Zhukovskiy,0.0024909575317153053
Bryansk,Fokino,0.0024390141648350018
Bryukhovetskaya,Kanevskaya,0.002573813931663017
Budënnovsk,Aleksandrovskoye,0.00478388889339427
Bugul’ma,Krasnokamensk,0.02113583082565882
Buguruslan,Leninogorsk,0.010915099624971863
Buinsk,Kanash,0.010225105561033192
Buturlinovka,Bobrov,0.006630726013177704
Buynaksk,Kizilyurt,0.004458228834912557
Buzuluk,Buguruslan,0.009783444839700131
