node1,node2,dist
Armavir,Sochi,0.02111575336456506
Astrakhan,Makhachkala,0.028916330151444236
Balakovo,Ulyanovsk,0.02678020865443054
Balashikha,Vladimir,0.02447397597794759
Barnaul,Biysk,0.017508868764736986
Belgorod,Kursk,0.012866621695476857
Biysk,Novokuznetsk,0.024439337099779527
Blagoveshchensk,Chita,0.15325641583144806
Bratsk,Angarsk,0.046507004511735145
Bryansk,Kaluga,0.024452719388806044
Cheboksary,Yoshkar-Ola,0.00851497826985348
Chelyabinsk,Kurgan,0.03931248669828217
Cherepovets,Vologda,0.017832382485287818
Chita,Ulan-Ude,0.0636156490106799
Dzerzhinsk,Saransk,0.029289724639142745
Irkutsk,Angarsk,0.005037172010652792
Ivanovo,Dzerzhinsk,0.02570635851364956
Izhevsk,Ufa,0.03661238704114413
Kaliningrad,Saint Petersburg,0.1153087590728824
Kaluga,Tula,0.014260755916098015
Kazan,Nizhnekamsk,0.02659932564400277
Kemerovo,Novokuznetsk,0.021132612756571068
Khabarovsk,Blagoveshchensk,0.08829941836549561
Khimki,Moscow,0.0024257121650772947
Kirov,Yoshkar-Ola,0.02936991412511492
Komsomolsk-on-Amur,Khabarovsk,0.030664691419173662
Kostroma,Ivanovo,0.009556450946719756
Krasnodar,Taganrog,0.02020610090249176
Krasnoyarsk,Bratsk,0.08543623775680624
Kurgan,Omsk,0.07991018382122322
Kursk,Bryansk,0.025371758430604456
Lipetsk,Tula,0.027479724994561014
Lyubertsy,Balashikha,0.001480952420995753
Magnitogorsk,Chelyabinsk,0.031591297036884805
Makhachkala,Vladikavkaz,0.036035089534796935
Moscow,Mytishchi,0.002185984914267438
Murmansk,Petrozavodsk,0.10124568092885712
Mytishchi,Balashikha,0.0024034047992514715
Nizhnekamsk,Izhevsk,0.019861428831126248
Nizhnevartovsk,Novosibirsk,0.09189703337821087
Novokuznetsk,Krasnoyarsk,0.062479663067294786
Novorossiysk,Krasnodar,0.015141365613104871
Novosibirsk,Barnaul,0.02142346868504396
Omsk,Nizhnevartovsk,0.07788887635890063
Orenburg,Sterlitamak,0.022642126999521173
Orsk,Magnitogorsk,0.024064225181651067
Penza,Saratov,0.02095723737082504
Perm,Izhevsk,0.03198892655637399
Petrozavodsk,Cherepovets,0.04716473239619709
Saint Petersburg,Petrozavodsk,0.04183103188979953
Samara,Ulyanovsk,0.021764349727846244
Saransk,Penza,0.011449202931782143
Saratov,Balakovo,0.01993449939091072
Shakhty,Taganrog,0.0159689762874606
Smolensk,Bryansk,0.02979501468816906
Sochi,Krasnodar,0.015320796053238904
Sterlitamak,Magnitogorsk,0.03177155938585502
Surgut,Nizhnevartovsk,0.027126865979125624
Syktyvkar,Kirov,0.04213640542807304
Taganrog,Belgorod,0.04192647225201517
Tambov,Lipetsk,0.019662453125290042
Tomsk,Kemerovo,0.017637447931934194
Tula,Lyubertsy,0.017415334146168287
Tver,Khimki,0.01888628007544828
Tyumen,Kurgan,0.02097435040303454
Ufa,Sterlitamak,0.012770599699038187
Ulan-Ude,Irkutsk,0.035715642572180614
Ulyanovsk,Kazan,0.018597935116805117
Vladikavkaz,Armavir,0.04713788196626573
Vladimir,Ivanovo,0.011856976878847257
Vladivostok,Khabarovsk,0.05961131385014565
Volgograd,Saratov,0.03303634488649372
Vologda,Yaroslavl,0.02002113275475146
Voronezh,Lipetsk,0.011095655473147576
Yakutsk,Blagoveshchensk,0.1342155930536699
Yaroslavl,Kostroma,0.009789022664227369
Yekaterinburg,Chelyabinsk,0.02181594961710169
Yoshkar-Ola,Kazan,0.015625571466693654
Yuzhno-Sakhalinsk,Komsomolsk-on-Amur,0.07621011433411601
