node1,node2,dist,real_dist
Abakan,Chernogorsk,0.0018515221437481128,17841.0
Abdulino,Priyutovo,0.003879607410424513,67347.0
Abinsk,Akhtyrskiy,0.001844268144291952,11875.0
Achinsk,Nazarovo,0.003180761271308426,31527.0
Achkhoy-Martan,Ordzhonikidzevskaya,0.003207693930433841,32918.0
Adler,Sochi,0.002647749645902753,
Afipskiy,Enem,0.0008833082140169131,
Agidel’,Neftekamsk,0.003902182101216551,39148.0
Agryz,Izhevsk,0.00446347402490121,47062.0
Akademgorodok,Arsen’yev,0.0,5651113.0
Akhtubinsk,Znamensk,0.005754340022212428,52224.0
Aksay,Sorochinsk,0.013809624724280385,188783.0
Alagir,Ardon,0.0014582605474715345,
Alapayevsk,Rezh,0.006619296153527009,68433.0
Alatyr’,Shumerlya,0.007922005469773612,97506.0
Aldan,Neryungri,0.02478769804904872,
Aleksandrov,Karabanovo,0.0010480622375587411,
Aleksandrovsk,Kizel,0.0015841746173858627,13646.0
Aleksandrovskoye,Zelenokumsk,0.0,126634.0
Aleksin,Protvino,0.004556353938889635,69158.0
Aleysk,Barnaul,0.014216297938797159,126967.0
Altuf’yevskiy,Vostochnoe Degunino,0.00019037465123266986,8718.0
Al’met’yevsk,Leninogorsk,0.003805776963043331,45460.0
Amursk,Komsomolsk-on-Amur,0.003525887387628592,50924.0
Anapa,Temryuk,0.0034329365309757696,54611.0
Andreyevskoye,Istra,0.0003965942531655401,11481945.0
Angarsk,Usol’ye-Sibirskoye,0.003533841790290344,37709.0
Annino,Trubchevsk,0.001236403738167724,
Anzhero-Sudzhensk,Tayga,0.003777587544187459,68907.0
Apatity,Kirovsk,0.0018575503091715546,16222.0
Aprelevka,Krasnoznamensk,0.0007235083735514754,17178.0
Apsheronsk,Khadyzhensk,0.0025141716478451442,20609.0
Aramil,Sysert’,0.002347641006779119,24968.0
Armavir,Novokubansk,0.001407359975756279,19326.0
Arsk,Kazan,0.008287744550474551,67175.0
Artëm,Vladivostok,0.0042846166779736215,50478.0
Arzamas,Sarov,0.007178586811080992,
Arzgir,Budënnovsk,0.0051820501110377394,73885.0
Asbest,Reftinskiy,0.0023104950065983795,19775.0
Asha,Sim,0.004120396526082863,1143051.0
Astrakhan,Kamyzyak,0.0022078131117113198,35729.0
Atkarsk,Petrovsk,0.006368292778868368,93164.0
Avtury,Kurchaloy,0.001143823410530357,10235.0
Aykhal,Udachny,0.008860185031950185,76627.0
Azov,Levoberezhnyy,0.002869821809592888,1145644.0
Babushkin,Gusinoozyorsk,0.008583259315340163,271478.0
Bagayevskaya,Novocherkassk,0.003581246617786238,37664.0
Bakal,Satka,0.0025068579164721013,
Baksan,Dugulubgey,0.00019043804468292882,4903.0
Balabanovo,Obninsk,0.0010230501460234275,11174.0
Balakovo,Yershov,0.008708729403955617,119328.0
Balashikha,Reutov,0.0009204002234234961,12003.0
Balashov,Yelan’,0.00905055831662955,129807.0
Balezino,Glazov,0.003707899308961507,34762.0
Barabinsk,Kupino,0.015480493160610169,197839.0
Barnaul,Novoaltaysk,0.0017656612617783468,23010.0
Barysh,Kuznetsk,0.008040200387844441,114673.0
Bataysk,Rostov,0.0008373523136733478,1305852.0
Bavly,Tuymazy,0.00507741529577827,40820.0
Baymak,Sibay,0.0040244274189135615,
Belaya Glina,Novopokrovskaya,0.0022656014177046746,23148.0
Belaya Kalitva,Semikarakorsk,0.006297851744101589,139612.0
Belebey,Priyutovo,0.002972858609716277,27563.0
Belgorod,Razumnoye,0.0013050589649068257,11100.0
