name,country,subcountry,geonameid,lat,lng
Udomlya,Russia,Tverskaya,452949,57.876779,35.00511
Sosnovka,Russia,St.-Petersburg,461698,56.253352,51.283364
Sasovo,Russia,Rjazan,461699,54.349928,41.924087
Zyuzino,Russia,Moscow,461740,55.678753,38.120862
Zyablikovo,Russia,Moscow,461835,58.786994,36.710175
Zverevo,Russia,Rostov,461910,48.028358,40.123073
Zvenigorod,Russia,MO,461920,55.729686,36.855325
Zlatoust,Russia,Chelyabinsk,462444,55.173108,59.672425
Zimovniki,Russia,Rostov,462522,47.14537,42.467711
Zhulebino,Russia,Moscow,462745,0.0,0.0
Zhukovskiy,Russia,MO,462755,55.597475,38.119802
Zhukovka,Russia,Brjansk,462822,53.533062,33.732547
Zhirnovsk,Russia,Volgograd,462984,50.978713,44.778834
Zhigulevsk,Russia,Samara,463082,53.401714,49.494657
Zherdevka,Russia,Tambov,463217,51.842282,41.461796
Zheleznovodsk,Russia,Stavropol'skiy,463340,44.132058,43.030533
Zheleznogorsk,Russia,Kursk,463343,52.337971,35.351743
Zheleznodorozhnyy,Russia,MO,463355,43.045809,58.84752
Zernograd,Russia,Rostov,463637,46.849564,40.312815
Zelenokumsk,Russia,Stavropol'skiy,463824,44.403288,43.884148
Zelenograd,Russia,Moscow,463829,55.991893,37.214382
Zelenodolsk,Russia,Tatarstan,463835,55.846906,48.500617
Zelenchukskaya,Russia,Karachayevo-Cherkesiya,463885,43.860894,41.582835
Zavolzh’ye,Russia,Nizjnij Novgorod,464101,56.182677,47.251447
Zarechnyy,Russia,Penza,464625,0.0,0.0
Zaraysk,Russia,MO,464687,54.756973,38.874845
Zapolyarnyy,Russia,Murmansk,464790,69.426103,30.820739
Zamoskvorech’ye,Russia,Moscow,465057,15.24556,97.850367
Zainsk,Russia,Tatarstan,465543,55.298984,52.006391
Yur’yev-Pol’skiy,Russia,Vladimir,466215,50.17218,1.527468
Yoshkar-Ola,Russia,Mariy-El,466806,56.631595,47.886178
Yeysk,Russia,Krasnodarskiy,466885,46.711524,38.276451
Yessentukskaya,Russia,Stavropol'skiy,466989,44.026652,42.876373
Yessentuki,Russia,Stavropol'skiy,466990,44.044526,42.85891
Yershov,Russia,Saratov,467120,51.352068,48.283494
Yemva,Russia,Komi Republic,467525,62.598375,50.886569
Yelizavetinskaya,Russia,Krasnodarskiy,467854,45.048444,38.799935
Yelets,Russia,Lipetsk,467978,52.62419,38.503653
Yelan’,Russia,Volgograd,468063,50.950094,43.734677
Yelabuga,Russia,Tatarstan,468082,55.75667,52.05446
Yegor’yevsk,Russia,MO,468250,65.428918,53.595394
Yegorlykskaya,Russia,Rostov,468307,46.565222,40.660858
Yefremov,Russia,Tula,468390,53.137598,38.117673
Yasnyy,Russia,Orenburg,468657,0.0,0.0
Yasnogorsk,Russia,Tula,468671,54.479555,37.689689
Yasenevo,Russia,Moscow,468809,45.184143,38.995283
Yartsevo,Russia,Smolensk,468866,55.068705,32.689675
Yaroslavl,Russia,Jaroslavl,468902,57.626578,39.893858
Yaransk,Russia,Kirov,469005,57.304228,47.885855
Yanaul,Russia,Bashkortostan,469178,56.264957,54.929824
Yagry,Russia,Arkhangelskaya,469707,0.0,0.0
Yablonovskiy,Russia,Adygeya,469844,49.27482,41.394575
Vyshniy Volochëk,Russia,Tverskaya,470252,57.589051,34.560336
Vyselki,Russia,Krasnodarskiy,470338,45.580039,39.65541
Vyksa,Russia,Nizjnij Novgorod,470444,55.320683,42.167961
Vykhino-Zhulebino,Russia,Moscow,470451,0.0,0.0
Vyborg,Russia,Leningrad,470546,60.710232,28.749404
Vyazniki,Russia,Vladimir,470666,56.247021,42.158862
Vyaz’ma,Russia,Smolensk,470676,49.193252,119.729249
Vyatskiye Polyany,Russia,Kirov,470734,56.222896,51.074919
Vsevolozhsk,Russia,Leningrad,471101,60.021317,30.654084
Votkinsk,Russia,Udmurtiya,471430,57.051806,53.987392
Vostryakovo,Russia,MO,471456,55.386108,37.840417
Vostryakovo,Russia,MO,471457,55.386108,37.840417
Voskresensk,Russia,MO,471656,55.322978,38.673353
Voronezh,Russia,Voronezj,472045,51.660781,39.200269
Altuf’yevskiy,Russia,Moscow,472072,55.879849,37.582278
Vorob’yovo,Russia,Moscow,472079,0.0,0.0
Volzhskiy,Russia,Volgograd,472231,48.786293,44.751867
Volzhsk,Russia,Mariy-El,472234,55.862267,48.372041
Vol’sk,Russia,Saratov,472278,48.856663,2.351556
Volokolamsk,Russia,MO,472433,56.035728,35.958537
Vologda,Russia,Vologda,472459,59.220496,39.891523
Volkhov,Russia,Leningrad,472722,59.900538,32.352672
Nagornyy,Russia,Moscow,472732,52.981709,49.710217
Volgorechensk,Russia,Kostroma,472750,57.439464,41.157456
Volgograd,Russia,Volgograd,472757,48.707073,44.51693
Volgodonsk,Russia,Rostov,472761,47.516545,42.198423
Vnukovo,Russia,Moscow,473021,55.608475,37.2924
Novovladykino,Russia,Moscow,473127,0.0,0.0
Vladimir,Russia,Vladimir,473247,56.129057,40.406635
Vladikavkaz,Russia,North Ossetia,473249,43.02115,44.68196
Vidnoye,Russia,MO,473778,55.557174,37.708644
Vichuga,Russia,Ivanovo,473788,57.217138,41.918149
Veshnyaki,Russia,Moscow,473972,58.833464,37.223113
Vereshchagino,Russia,Perm,475777,58.079761,54.658083
Venëv,Russia,Tula,475881,54.336287,38.030887
Vel’sk,Russia,Arkhangelskaya,475938,30.04773,30.987988
Velikiy Ustyug,Russia,Vologda,476062,60.760356,46.305485
Velikiye Luki,Russia,Pskov,476077,56.342316,30.521969
Vatutino,Russia,Moscow,476368,49.01036,31.045911
Valuyki,Russia,Belgorod,477192,50.211194,38.099914
Valday,Russia,Novgorod,477301,57.980199,33.246667
Vagonoremont,Russia,Moscow,477377,0.0,0.0
Uzlovaya,Russia,Tula,477494,53.97844,38.160299
Uvarovo,Russia,Tambov,477626,51.983099,42.261
Uva,Russia,Udmurtiya,477656,-27.258883,-52.307785
Ust’-Labinsk,Russia,Krasnodarskiy,478044,45.21365,39.691216
Ust’-Katav,Russia,Chelyabinsk,478071,54.930289,58.1747
Ust’-Dzheguta,Russia,Karachayevo-Cherkesiya,478130,44.083895,41.971042
Usman’,Russia,Lipetsk,478317,52.043386,39.736069
Uryupinsk,Russia,Volgograd,478544,50.799754,42.015194
Urus-Martan,Russia,Chechnya,478581,43.127617,45.540614
Uritsk,Russia,St.-Petersburg,478724,0.0,0.0
Unecha,Russia,Brjansk,479028,52.845115,32.670676
Ulyanovsk,Russia,Ulyanovsk,479123,54.314192,48.403123
Ukhta,Russia,Komi Republic,479411,63.562626,53.684022
Uglich,Russia,Jaroslavl,479532,57.526592,38.319372
Ufa,Russia,Bashkortostan,479561,54.735147,55.958727
Uchkeken,Russia,Karachayevo-Cherkesiya,479687,43.939015,42.515493
Uchaly,Russia,Bashkortostan,479703,54.319176,59.378631
Uchaly,Russia,Bashkortostan,479704,54.319176,59.378631
