,name,country,subcountry,geonameid,lat,lng
0,Udomlya,Russia,Tverskaya,452949,57.876779000000006,35.005109999999995
1,Sosnovka,Russia,St.-Petersburg,461698,56.253352,51.283364
2,Sasovo,Russia,Rjazan,461699,54.349928000000006,41.924087
3,Zyuzino,Russia,Moscow,461740,55.678753,38.120862
4,Zyablikovo,Russia,Moscow,461835,58.78699399999999,36.710175
5,Zverevo,Russia,Rostov,461910,48.028358000000004,40.123073
6,Zvenigorod,Russia,MO,461920,55.729686,36.855325
7,Zlatoust,Russia,Chelyabinsk,462444,55.173108,59.672425
8,Zimovniki,Russia,Rostov,462522,47.14537,42.467711
10,Zhukovskiy,Russia,MO,462755,55.597475,38.119802
11,Zhukovka,Russia,Brjansk,462822,53.533062,33.732547
12,Zhirnovsk,Russia,Volgograd,462984,50.978713,44.778834
13,Zhigulevsk,Russia,Samara,463082,53.401714,49.494657000000004
14,Zherdevka,Russia,Tambov,463217,51.842282,41.461796
15,Zheleznovodsk,Russia,Stavropol'skiy,463340,44.132058,43.030533
16,Zheleznogorsk,Russia,Kursk,463343,52.337971,35.351743
18,Zernograd,Russia,Rostov,463637,46.849564,40.312815
19,Zelenokumsk,Russia,Stavropol'skiy,463824,44.403288,43.884147999999996
20,Zelenograd,Russia,Moscow,463829,55.991893000000005,37.214382
21,Zelenodolsk,Russia,Tatarstan,463835,55.846906000000004,48.500617
22,Zelenchukskaya,Russia,Karachayevo-Cherkesiya,463885,43.860894,41.582834999999996
23,Zavolzh’ye,Russia,Nizjnij Novgorod,464101,56.182677000000005,47.251447
25,Zaraysk,Russia,MO,464687,54.756972999999995,38.874845
26,Zapolyarnyy,Russia,Murmansk,464790,69.426103,30.820739
28,Zainsk,Russia,Tatarstan,465543,55.298984,52.006391
30,Yoshkar-Ola,Russia,Mariy-El,466806,56.631595,47.886178
31,Yeysk,Russia,Krasnodarskiy,466885,46.711524,38.276451
32,Yessentukskaya,Russia,Stavropol'skiy,466989,44.026652,42.876373
33,Yessentuki,Russia,Stavropol'skiy,466990,44.044526,42.858909999999995
34,Yershov,Russia,Saratov,467120,51.352068,48.283494
35,Yemva,Russia,Komi Republic,467525,62.598375,50.886569
36,Yelizavetinskaya,Russia,Krasnodarskiy,467854,45.048444,38.799935
37,Yelets,Russia,Lipetsk,467978,52.624190000000006,38.503653
38,Yelan’,Russia,Volgograd,468063,50.950094,43.734677000000005
39,Yelabuga,Russia,Tatarstan,468082,55.75666999999999,52.05446
40,Yegor’yevsk,Russia,MO,468250,65.42891800000001,53.59539399999999
41,Yegorlykskaya,Russia,Rostov,468307,46.565222,40.660858000000005
42,Yefremov,Russia,Tula,468390,53.137598,38.117672999999996
44,Yasnogorsk,Russia,Tula,468671,54.479555000000005,37.689689
45,Yasenevo,Russia,Moscow,468809,45.184143,38.995283
46,Yartsevo,Russia,Smolensk,468866,55.068705,32.689675
47,Yaroslavl,Russia,Jaroslavl,468902,57.626578,39.893858
48,Yaransk,Russia,Kirov,469005,57.304228,47.885855
49,Yanaul,Russia,Bashkortostan,469178,56.264956999999995,54.929823999999996
51,Yablonovskiy,Russia,Adygeya,469844,49.27482,41.394575
52,Vyshniy Volochëk,Russia,Tverskaya,470252,57.589051,34.560336
53,Vyselki,Russia,Krasnodarskiy,470338,45.580039,39.655409999999996
54,Vyksa,Russia,Nizjnij Novgorod,470444,55.320682999999995,42.167961
57,Vyazniki,Russia,Vladimir,470666,56.247021,42.158862
58,Vyaz’ma,Russia,Smolensk,470676,49.193252,119.729249
59,Vyatskiye Polyany,Russia,Kirov,470734,56.222896,51.074919
60,Vsevolozhsk,Russia,Leningrad,471101,60.021317,30.654084
61,Votkinsk,Russia,Udmurtiya,471430,57.051806000000006,53.98739200000001
62,Vostryakovo,Russia,MO,471456,55.38610799999999,37.840416999999995
63,Vostryakovo,Russia,MO,471457,55.38610799999999,37.840416999999995
64,Voskresensk,Russia,MO,471656,55.322978000000006,38.673353000000006
65,Voronezh,Russia,Voronezj,472045,51.660781,39.200269
66,Altuf’yevskiy,Russia,Moscow,472072,55.879849,37.582278
68,Volzhskiy,Russia,Volgograd,472231,48.786293,44.751867
69,Volzhsk,Russia,Mariy-El,472234,55.862267,48.372040999999996
71,Volokolamsk,Russia,MO,472433,56.035728000000006,35.958537
72,Vologda,Russia,Vologda,472459,59.220496,39.891523
73,Volkhov,Russia,Leningrad,472722,59.900538,32.352672
74,Nagornyy,Russia,Moscow,472732,52.981708999999995,49.710217
75,Volgorechensk,Russia,Kostroma,472750,57.439464,41.157455999999996
76,Volgograd,Russia,Volgograd,472757,48.707073,44.51693
77,Volgodonsk,Russia,Rostov,472761,47.516545,42.198423
78,Vnukovo,Russia,Moscow,473021,55.608475,37.2924
80,Vladimir,Russia,Vladimir,473247,56.129056999999996,40.406634999999994
81,Vladikavkaz,Russia,North Ossetia,473249,43.02115,44.68196
82,Vidnoye,Russia,MO,473778,55.557173999999996,37.708644
83,Vichuga,Russia,Ivanovo,473788,57.217138,41.918149
84,Veshnyaki,Russia,Moscow,473972,58.833464,37.223113
85,Vereshchagino,Russia,Perm,475777,58.079761,54.658083
86,Venëv,Russia,Tula,475881,54.336287,38.030887
88,Velikiy Ustyug,Russia,Vologda,476062,60.76035600000001,46.305485
89,Velikiye Luki,Russia,Pskov,476077,56.342316000000004,30.521969
91,Valuyki,Russia,Belgorod,477192,50.211194,38.099914
92,Valday,Russia,Novgorod,477301,57.980199,33.246666999999995
94,Uzlovaya,Russia,Tula,477494,53.97844,38.160299
95,Uvarovo,Russia,Tambov,477626,51.983098999999996,42.261
97,Ust’-Labinsk,Russia,Krasnodarskiy,478044,45.21365,39.691216
98,Ust’-Katav,Russia,Chelyabinsk,478071,54.930289,58.1747
99,Ust’-Dzheguta,Russia,Karachayevo-Cherkesiya,478130,44.083895,41.971042
100,Usman’,Russia,Lipetsk,478317,52.043386,39.736069
101,Uryupinsk,Russia,Volgograd,478544,50.799754,42.015194
102,Urus-Martan,Russia,Chechnya,478581,43.127617,45.540614
104,Unecha,Russia,Brjansk,479028,52.845115,32.670676
105,Ulyanovsk,Russia,Ulyanovsk,479123,54.314192000000006,48.403123
106,Ukhta,Russia,Komi Republic,479411,63.562626,53.684022
107,Uglich,Russia,Jaroslavl,479532,57.526592,38.319371999999994
108,Ufa,Russia,Bashkortostan,479561,54.735147,55.958727
109,Uchkeken,Russia,Karachayevo-Cherkesiya,479687,43.939015000000005,42.515493
110,Uchaly,Russia,Bashkortostan,479703,54.319176,59.378631000000006
111,Uchaly,Russia,Bashkortostan,479704,54.319176,59.378631000000006
112,Tyrnyauz,Russia,Kabardino-Balkariya,479933,43.398084000000004,42.921423
113,Tver,Russia,Tverskaya,480060,56.859846999999995,35.911995000000005
114,Tuymazy,Russia,Bashkortostan,480089,54.599988,53.695007999999994
115,Tutayev,Russia,Jaroslavl,480122,57.8688,39.530759
116,Tula,Russia,Tula,480562,54.193121999999995,37.617348
117,Tuchkovo,Russia,MO,480685,55.614139,36.401146000000004
118,Tuapse,Russia,Krasnodarskiy,480716,44.09564,39.073553000000004
119,Tsimlyansk,Russia,Rostov,480876,47.647714,42.093059999999994
120,Trubchevsk,Russia,Brjansk,481350,52.579077000000005,33.766073
123,Troitsk,Russia,Moscow,481608,55.48484200000001,37.305561
124,Tosno,Russia,Leningrad,481964,59.540664,30.877719
125,Torzhok,Russia,Tverskaya,481985,57.041338,34.96014
126,Tomilino,Russia,MO,482260,55.663126,37.949931
128,Timashëvsk,Russia,Krasnodarskiy,482965,45.615877000000005,38.935069
129,Tikhvin,Russia,Leningrad,483019,59.644209,33.542096
130,Tikhoretsk,Russia,Krasnodarskiy,483029,45.85468,40.125929
131,Teykovo,Russia,Ivanovo,483137,56.85436,40.535471
132,Terek,Russia,Kabardino-Balkariya,483495,43.483865,44.140267
133,Tyoply Stan,Russia,Moscow,483551,54.103589,42.732858
134,Temryuk,Russia,Krasnodarskiy,483661,45.27841,37.370194
136,Tbilisskaya,Russia,Krasnodarskiy,483883,45.364528,40.201765
137,Tambov,Russia,Tambov,484646,52.721219,41.452273999999996
138,Agidel’,Russia,Bashkortostan,484856,55.899834999999996,53.92204
139,Taganrog,Russia,Rostov,484907,47.220983000000004,38.9173
140,Taganskiy,Russia,Moscow,484912,55.713460999999995,38.350714
141,Syzran’,Russia,Samara,484972,53.155781999999995,48.474484999999994
142,Syktyvkar,Russia,Komi Republic,485239,61.66879300000001,50.836399
143,Svobody,Russia,Stavropol'skiy,485432,44.024772999999996,43.051464
144,Sviblovo,Russia,Moscow,485630,56.345614000000005,38.370882
147,Svetlograd,Russia,Stavropol'skiy,485698,45.328573,42.856628
148,Suvorovskaya,Russia,Stavropol'skiy,485871,44.197528999999996,42.649962
149,Suvorov,Russia,Tula,485888,54.122082999999996,36.490339
150,Surovikino,Russia,Volgograd,486071,48.605493,42.844195
151,Surkhakhi,Russia,Ingushetiya,486110,43.184867,44.902846000000004
152,Sukhinichi,Russia,Kaluga,486665,54.101752000000005,35.339319
153,Stupino,Russia,MO,486968,54.886880000000005,38.07839
154,Strunino,Russia,Vladimir,487095,56.374930000000006,38.584078999999996
155,Stroitel’,Russia,Belgorod,487147,50.784551,36.488686
156,Strogino,Russia,Moscow,487150,55.784541000000004,36.381796
157,Sterlitamak,Russia,Bashkortostan,487495,53.630403,55.930825
158,Stavropol’,Russia,Stavropol'skiy,487846,45.044521,41.969083000000005
159,Staryy Oskol,Russia,Belgorod,487928,49.580332,37.651511
160,Staroshcherbinovskaya,Russia,Krasnodarskiy,488635,46.629713,38.667334999999994
161,Starominskaya,Russia,Krasnodarskiy,488742,46.533019,39.053628
162,Starodub,Russia,Brjansk,488852,52.585277000000005,32.760346000000006
163,Staraya Russa,Russia,Novgorod,489088,57.990715,31.355452000000003
164,Staraya Kupavna,Russia,MO,489162,55.810648,38.175624
166,Sovetsk,Russia,Kirov,490067,55.081029,21.888647
167,Sovetsk,Russia,Kaliningrad,490068,55.081029,21.888647
169,Sosnovaya Polyana,Russia,St.-Petersburg,490377,60.264715,30.497328000000003
170,Sosnogorsk,Russia,Komi Republic,490391,63.599109999999996,53.876441
171,Sortavala,Russia,Republic of Karelia,490466,61.703306000000005,30.691723
172,Sorochinsk,Russia,Orenburg,490554,52.429092000000004,53.151016000000006
173,Solntsevo,Russia,Moscow,490971,51.416339,36.755046
