name,country,subcountry,geonameid,lat,lng
Yoshkar-Ola,Russia,Mariy-El,466806,56.631595,47.886178
Yaroslavl,Russia,Jaroslavl,468902,57.626578,39.893858
Voronezh,Russia,Voronezj,472045,51.660781,39.200269
Vologda,Russia,Vologda,472459,59.220496,39.891523
Volgograd,Russia,Volgograd,472757,48.707073,44.51693
Vladimir,Russia,Vladimir,473247,56.129057,40.406635
Vladikavkaz,Russia,North Ossetia,473249,43.02115,44.68196
Ulyanovsk,Russia,Ulyanovsk,479123,54.31419200000001,48.403123
Ufa,Russia,Bashkortostan,479561,54.735147,55.958727
Tver,Russia,Tverskaya,480060,56.859847,35.91199500000001
Tula,Russia,Tula,480562,54.193122,37.617348
Tambov,Russia,Tambov,484646,52.721219,41.452274
Taganrog,Russia,Rostov,484907,47.220983,38.9173
Syktyvkar,Russia,Komi Republic,485239,61.66879300000001,50.836399
Sterlitamak,Russia,Bashkortostan,487495,53.630403,55.930825
Sochi,Russia,Krasnodarskiy,491422,43.585525,39.723062
Smolensk,Russia,Smolensk,491687,54.782635,32.045251
Shakhty,Russia,Rostov,496015,47.709601,40.215797
Saratov,Russia,Saratov,498677,51.533103,46.03415800000001
Saransk,Russia,Mordoviya,498698,54.187433,45.183938
Saint Petersburg,Russia,St.-Petersburg,498817,59.939095,30.315868
Samara,Russia,Samara,499099,53.195538,50.10178300000001
Petrozavodsk,Russia,Republic of Karelia,509820,61.785017,34.346878000000004
Perm,Russia,Perm,511196,58.010374,56.229398
Penza,Russia,Penza,511565,53.195063,45.018316
Orsk,Russia,Orenburg,514734,51.229362,58.475196
Orenburg,Russia,Orenburg,515003,51.768199,55.096955
Novorossiysk,Russia,Krasnodarskiy,518255,44.723912,37.768974
Nizhnekamsk,Russia,Tatarstan,521118,55.63407,51.809112
Mytishchi,Russia,MO,523812,55.910483,37.73640200000001
Murmansk,Russia,Murmansk,524305,68.970682,33.074981
Moscow,Russia,Moscow,524901,55.755814,37.617635
Makhachkala,Russia,Dagestan,532096,42.98306,47.504682
Magnitogorsk,Russia,Chelyabinsk,532288,53.407158,58.980282
Lyubertsy,Russia,MO,532615,55.67649399999999,37.898116
Lipetsk,Russia,Lipetsk,535121,52.60882,39.59922
Kursk,Russia,Kursk,538560,51.730361,36.192647
Krasnodar,Russia,Krasnodarskiy,542420,45.03547,38.975313
Kostroma,Russia,Kostroma,543878,57.767961,40.926858
Kirov,Russia,Kirov,548408,58.603591,49.668014
Khimki,Russia,Moscow,550280,55.88874000000001,37.43039
Kazan,Russia,Tatarstan,551487,55.796289,49.108795
Kaluga,Russia,Kaluga,553915,54.513845,36.261215
Kaliningrad,Russia,Kaliningrad,554234,54.70739,20.507307
Izhevsk,Russia,Udmurtiya,554840,56.85259300000001,53.204843
Ivanovo,Russia,Ivanovo,555312,57.000348,40.973921
Dzerzhinsk,Russia,Nizjnij Novgorod,563708,56.238377,43.461625
Cherepovets,Russia,Vologda,569223,59.122612,37.903461
Cheboksary,Russia,Chuvashia,569696,56.14627700000001,47.251079
Bryansk,Russia,Brjansk,571476,53.243562,34.363407
Blagoveshchensk,Russia,Bashkortostan,576116,50.29064,127.527173
Belgorod,Russia,Belgorod,578072,50.59566,36.587223
Balashikha,Russia,MO,579464,55.796339,37.938199
Balakovo,Russia,Saratov,579492,52.018424,47.819667
Astrakhan,Russia,Astrakhan,580497,46.347869,48.033574
Armavir,Russia,Krasnodarskiy,580922,44.997655,41.129644
Yekaterinburg,Russia,Sverdlovsk,1486209,56.838011,60.597465
Tyumen,Russia,Tjumen,1488754,57.15303299999999,65.534328
Tomsk,Russia,Tomsk,1489425,56.48464,84.947649
Surgut,Russia,Khanty-Mansiyskiy Avtonomnyy Okrug,1490624,61.254035,73.396221
Omsk,Russia,Omsk,1496153,54.98934200000001,73.368212
Novosibirsk,Russia,Novosibirsk,1496747,55.030199,82.92043000000002
Novokuznetsk,Russia,Kemerovo,1496990,53.757547,87.136044
Nizhnevartovsk,Russia,Khanty-Mansiyskiy Avtonomnyy Okrug,1497543,60.939716,76.56962800000002
Kurgan,Russia,Kurgan,1501321,55.44100400000001,65.34111800000001
Krasnoyarsk,Russia,Krasnoyarskiy,1502026,56.010563,92.852572
Kemerovo,Russia,Kemerovo,1503901,55.354727,86.088374
Chelyabinsk,Russia,Chelyabinsk,1508291,55.159897,61.402554
Biysk,Russia,Altai Krai,1510018,52.539297,85.21382
Barnaul,Russia,Altai Krai,1510853,53.346785,83.77685600000002
Yakutsk,Russia,Sakha,2013159,62.028082,129.732609
Vladivostok,Russia,Primorskiy,2013348,43.115536,131.88548500000002
Ulan-Ude,Russia,Respublika Buryatiya,2014407,51.834464,107.584574
Komsomolsk-on-Amur,Russia,Khabarovsk Krai,2021851,50.549923,137.007948
Khabarovsk,Russia,Khabarovsk Krai,2022890,48.480223,135.07191699999998
Irkutsk,Russia,Irkutsk,2023469,52.287054,104.281047
Chita,Russia,Transbaikal Territory,2025339,52.033973,113.499432
Angarsk,Russia,Irkutsk,2027667,52.544358,103.88824
Bratsk,Russia,Irkutsk,2051523,56.151362,101.63408
Yuzhno-Sakhalinsk,Russia,Sakhalin,2119441,46.959155,142.738023
